Type,Method,ID,k,K,delta,b,I0,r,PS,P0,maxViral,TimeMax,cumViral
SAT1 ,Contact,2,0.125467735031285,6.41489678670891,1.83346579140932,0.317398493512644,2.05690485133645,3.44763731178865,0.006216454062829,0.006905887886774,6.38531947563377,3.84,30.1957733556422
SAT1 ,Contact,4,0.175666307886079,5.94679341750287,1.81199339194272,0.369770159368804,1.97772360528883,3.40903501439915,0.005815017333623,0.005286379394222,5.9144929344507,3.87,26.1182854895527
SAT1 ,Contact,19,0.126599721479288,5.91666096370959,1.87227697490788,0.377093526678328,1.74036268949422,3.88385798133385,0.007803685945645,0.007094259950607,5.89490256377541,3.42,26.0922515705832
SAT1 ,Contact,33,0.118811485791629,8.5786349633834,1.9682735692089,0.288892096228544,2.35218251811134,3.474307378559,0.00820447663178,0.00745861511982,8.51109034008211,3.69,32.7505053714073
SAT2 ,Contact,5,0.197393164517082,3.75000000000002,2.99999999999998,0.999999999999978,1.8260748027008,3.74638954360654,0.005026527169025,0.00456957015368,3.68610856613131,3.06,9.524315757299
SAT2 ,Contact,9,0.234812331490028,7.46820629771884,1.86625855328352,0.481260342243572,1.59842332056614,1.88195689499535,0.011880700993625,0.01080063918741,6.98222835570919,5.13,20.3878429256831
SAT2 ,Contact,22,0.11673994663414,5.65750152033382,2.50255072760779,0.637544492502702,2.1205272715836,1.68989006313455,0.008234121586822,0.007485565748051,5.09773437001419,5.49,14.4215503398632
SAT2 ,Contact,29,0.223114116156224,4.38272564665988,2.99999999999998,0.922149458242571,1.94939000664489,1.96805884931903,0.006888216004767,0.00765357332984,3.98292396776701,4.62,10.0050614522018
SAT3 ,Contact,12,0.13410700647789,10.9748114969843,1.6662199006019,0.278863251649934,2.76937732607612,1.0404371417881,0.016320088673761,0.01813343185971,9.05236191168612,8,32.4325413043242
SAT3 ,Contact,15,0.231381264487593,3.75000000000002,2.99999999999998,0.999999999999978,1.23044892137825,1.13883527570944,0.061841073347649,0.06871227581263,3.05286564308927,5.09,9.43265591433736
SAT3 ,Contact,16,0.168771944870844,11,2.70542264942056,0.608737336730451,2.81954393554185,1.54680562253451,0.005690289982182,0.006322544424622,7.88241074293343,5.62,15.044699252328
SAT3 ,Contact,17,0.131098006260348,7.50612673821915,1.83054205429039,0.393881398849258,3.09551804232313,1.89516992814434,0.016007209617061,0.015546299840721,7.0807452656106,5.02,22.9816235272141
,,,,,,,,,,,,,
,,,0.153547790297119,9.23314300109728,2.71501073719017,0.366407955104191,2.64164563825151,4.06454948341739,0.015952612737912,0.01585448983065,9.05318194514131,2.903181,26.0172309493843
,,,0.148253841861229,6.25631474478387,2.36766747402368,0.380970456801995,2.39903622591322,4.80087884559159,0.013935865231812,0.01393866751633,6.22766703140342,2.789171,26.3504810803895
,,,0.165195161693275,7.29646585139179,2.79381141873593,0.506508681586124,2.50447824257418,4.24770761778654,0.013477884762344,0.013381205571506,7.17219650156656,2.7492095,18.8477816502209
