Group,ID,Marker,Day 0,Day 2,Day 4,Day 6,Day 9,Day 12,Day 28
SAT1 Contact,2,Ecoli,-0.024859462835728,-0.17476577139288,0.003996608937871,0.202615962213879,0.008788951032987,0.058341862845445,0.503
SAT1 Contact,4,Ecoli,-0.167770143660213,-0.157776389756402,-0.112268378345647,-0.078415705969638,-0.000342426663623,0.228932105083589,0.564
SAT1 Contact,19,Ecoli,-0.134291068082448,-0.014896451495701,-0.060433571515078,0.024312293117224,0.057641821709851,0.151597861935631,0.627
SAT1 Contact,33,Ecoli,-0.093316677076828,-0.16991643454039,-0.025069637883009,-0.030475973062436,0.163425452064142,0.093369725918344,0.5715
SAT2 Contact,5,Ecoli,-0.159275452841974,-0.061336664584635,-0.156836623470995,-0.037324506334893,-0.067001483848876,0.045149550779029,0.555
SAT2 Contact,9,Ecoli,-0.070830730793254,0.015623107666222,0.157078842194501,-0.109918959022942,-0.075676292660655,-0.034459228932105,0.653
SAT2 Contact,22,Ecoli,-0.207745159275453,-0.13455250090832,0.062613540026644,0.284556557470608,0.164935509645018,0.040145570340043,0.698
SAT2 Contact,29,Ecoli,-0.021361648969394,-0.107908441322514,0.050502603851277,-0.093482479169045,0.082296541490698,0.01376094620721,0.297
SAT3 Contact,12,Ecoli,-0.089818863210494,0.028218481288603,-0.014412014048686,-0.054674123958452,0.045314461819427,0.046969180029569,0.607
SAT3 Contact,15,Ecoli,0.013616489693941,-0.090468693229987,0.020951919583383,0.119735190046798,-0.029106266407944,0.05788695553281,0.64
SAT3 Contact,16,Ecoli,-0.112804497189257,0.034031730652779,0.042267167252028,-0.128181714416162,-0.129094852185824,0.024678721710452,0.605
SAT3 Contact,17,Ecoli,-0.13529044347283,-0.066731258326269,0.059706915344556,-0.074306586006164,-0.228626869078872,-0.022176731490959,0.6035
SAT1 Contact,2,Staph,0.08169686448953,0.105565802321797,0.11380042462845,-0.009766454352442,0.26516901112744,-0.141538017602078,0.974837662337662
SAT1 Contact,4,Staph,0.133340566344798,0.162417272431377,0.163906581740976,-0.131219819441529,0.074532857442788,0.610445823113548,0.805194805194805
SAT1 Contact,19,Staph,0.093848323749593,0.081104033970276,0.106157112526539,0.058996430820911,-0.056057106865422,-0.108065214254797,0.941558441558442
SAT1 Contact,33,Staph,0.08169686448953,0.243736730360934,0.131210191082802,0.090489187486878,0.150483335737989,0.097388544221613,0.578733766233766
SAT2 Contact,5,Staph,0.045242486709342,0.069979385917327,0.120169851380042,0.150535376863321,0.083350829309259,0.961910258259991,0.818181818181818
SAT2 Contact,9,Staph,0.109037647824672,0.093418259023355,0.158386411889597,0.060256141087549,0.06907411295402,-0.184821815033905,0.593344155844156
SAT2 Contact,22,Staph,0.119019203645438,0.382590233545647,0.147770700636942,0.185807264329204,0.163972286374134,-0.15365748088299,0.839285714285714
SAT2 Contact,29,Staph,0.012693935119887,0.130785562632696,0.164755838641189,0.099727062775561,0.092588704597942,0.26763814745347,0.804383116883117
SAT3 Contact,12,Staph,0.361180427470978,0.104458598726114,0.047983014861996,0.106445517530968,0.056057106865421,0.121627470783437,0.831168831168831
SAT3 Contact,15,Staph,0.089508516870999,0.114225053078556,0.169851380042463,0.016166281755196,0.066974595842956,0.904198528350887,0.862012987012987
SAT3 Contact,16,Staph,0.212325051535207,0.040764331210191,0.504883227176221,0.091328994331303,0.030023094688221,0.048910691097966,0.855519480519481
SAT3 Contact,17,Staph,0.053054139090811,0.384713375796178,0.029299363057325,0.074112954020575,0.088809573798026,-0.199249747511181,0.698863636363636
