"Serotype","k","K","delta","b","r","nu","I0","A0","P0","maxViral","TimeMax","cumViral","infectStart","latentPeriod","infectPeriod","Transmission","R0","FeverStart","FeverEnd","FeverPeriod"
"SAT1",0.294101074403769,9.12475565080296,1.48137922424713,0.075902448899259,3.98517974309955,6.97391405466601,3.31210790869228,0.270831567506032,0.00805922259475,7.202517650269,3.16365,33.1577600922404,0.334,0.229,6.26,2.79,17.4654,,,
"SAT1",0.257797057632733,6.48056982410001,1.57783446396616,0.144118970286983,3.89591912448328,7.09964416774368,3.43331681264095,0.037382540549384,0.008032547152281,6.1430783544759,3.288,29.8056679196228,0.324,0.248,6.25,2.79,17.4375,5.09,10.02,4.93
"SAT1",0.250628212740201,7.91585355946182,1.6875393096781,0.090496084151302,4.83453326616761,7.16294669367057,3.57874551489405,0.208200827765244,0.00866820347441,6.72677759634828,2.793,29.3133885545738,0.318,0.244,6.23,2.79,17.3817,4.7,9.75,5.05
"SAT1",0.374251675634228,10.9999993819439,1.69197950857049,0.088452164541722,4.29249840963734,8.38613665711614,3.04809554985275,0.167859493298004,0.008551799020286,9.08280179614125,3.00791,33.2726276002622,0.32,0.233,6.225,2.79,17.36775,5.17,9.67,4.5
"SAT2",0.235741451609735,3.08672054134639,2.02085067616738,0.273889261081565,4.72891890203841,3.24999999999458,3.42195173077173,0.060000118954359,0.007946069330486,2.94184446661454,2.789,14.9344221549617,0.317,0.539,3.88,1.6,6.208,5.01,6.61,1.6
"SAT2",0.292138032191577,6.67953609139822,1.55004975261574,0.166497005400261,3.40996570068285,5.41661363601234,3.34584555494103,0.044605114893261,0.007116943306376,6.1480821689806,4.65,25.2469818941958,1.2,1.38,4.51,1.6,7.216,5.95,10.62,4.67
"SAT2",0.366253695085782,5.64334271551743,1.27145307930844,0.252175123504007,2.35993516366529,3.46396837792486,3.0949578774357,0.040794180884991,0.006505620276428,4.85036615910902,5.48,16.9850923775997,1.25,1.32,4.48,1.6,7.168,,,
"SAT2",0.112382173210899,4.42207746065808,1.36802345278597,0.171927587408231,2.99030255069745,4.82299999999998,4.58310608478372,0.033558713536864,0.00689439996897,4.19604806039472,4.97772,24.8678455662792,1.26,1.17,2.89,1.6,4.624,7.05,10.95,3.9
"SAT3",0.101064208031096,8.43961522926544,1.19031068385863,0.124057393296511,1.73806534181916,7.26699999999998,3.38874729165104,0.03412918408516,0.005708599919278,7.13756851060764,7.41,32.8705994521304,1.35,3.49,4.89,1.23,6.0147,9.02,13.35,4.33
"SAT3",0.107366082440525,7.94941804959829,1.09849275904081,0.107871186351398,1.21035593470231,7.04599999999997,3.28922154452226,0.040113376986415,0.005000000000022,5.96172214437548,11.68,36.0074065127069,3.05,6.98,9.42,1.23,11.5866,12.701,14.84,2.139
"SAT3",0.181362048236019,10.3994811542885,1.70926372503597,0.209825298683532,2.17813809539329,8.05999938579428,4.870331545927,0.044222557658776,0.006411688074665,7.29546491205849,5.36,19.0324245959736,0.9215,1.92,4.27,1.23,5.2521,7.56,8.6,1.04
"SAT3",0.07500000016161,7.48820120207471,1.69645396830466,0.142727624258439,3.18367687053556,8.08599999999998,2.96021405452018,0.048000133026511,0.006947463518822,6.8143976440713,4.65,28.1277408132385,0.916,1.89,4.29,1.23,5.2767,7.18,8.57,1.39
