"Group","ID","Day0","Day2","Day4","Day6","Day8","Day11","Day14","Day30"
"SAT1_Needle",7,0,1.2,1.04,1.65,2.55,2.55,2.71,3.15
"SAT1_Needle",10,0,0,1.65,1.65,2.55,3.15,2.71,3.15
"SAT1_Needle",11,1.04,0,1.51,1.65,2.55,2.41,3.15,3.15
"SAT1_Needle",13,0,1.04,0,1.65,2.55,2.55,3.15,3.15
"SAT2_Needle",8,0,0,0,2.11,2.85,3.15,3.15,3.15
"SAT2_Needle",20,0,0,0,1.81,2.85,2.85,3.15,3.15
"SAT2_Needle",28,0,0,0,0.9,2.71,3.15,3.15,3.15
"SAT2_Needle",32,0,0,0,1.81,3.15,3.15,3.15,3.15
"SAT3_Needle",26,0,0.9,0.9,2.41,2.71,3.15,3.15,3.01
"SAT3_Needle",27,0,0,0,2.55,3.15,2.41,3.15,3.15
"SAT3_Needle",34,0,0,0,1.51,2.85,2.71,3.15,3.15
"SAT3_Needle",35,0,0,0,2.25,3.01,2.85,3.15,3.15
